coursename,term
ACIT1420 - Introduction to Systems Administration,1
ACIT 1515 - Scripting for IT,1
ACIT 1620 - Fundamental Web Technologies,1
ACIT 1630 - Database Systems,1
COMM 1116 - Business Communications 1,1
MATH 1310 - Technical Math for IT,1
ORGB 1100 - Organizational Behaviour,1
ACIT 2420 - Linux System Administration,2
ACIT 2515 - Object Oriented Programming,2
ACIT 2520 - Developing Web Applications,2
ACIT 2620 - Principles of Enterprise Networking,2
ACIT 2831 - Business Systems Analysis,2
ACIT 2831 - Business Systems Analysis,2
COMM 2216 - Business Communications 2,2
MATH 1350 - Statistics for Information Technology,2
ACIT 2811 - UX/UI Development,2
ACIT 2911 - Agile Development Project,2
ACIT 4770 - Legal and Ethical Issues in IT,2
ACIT 3420 - Windows Server Administration,3
ACIT 3475 - Web Server Administration,3
ACIT 3640 - Cloud Computing,3
ACIT 3771 - IT Service and Project Management,3
ACIT 3896 - Applied Algorithms,3
ACIT 3900 - IT Projects Practicum 1,3
ACIT 3910 - Database Administration and Management,3
ACIT 3495 - Advanced Topics in IT Infrastructure,4
ACIT 3855 - Service Based Architectures,4
ACIT 4630 - Information Assurance and Security,4
ACIT 4640 - IT System and Network Provisioning,4
ACIT 4850 - Enterprise System Integration,4
ACIT 4880 - Introduction to Data Analytics,4
ACIT 4900 - IT Project Practicum 2,4
ACIT 4980 - Information Technology Industry Practicum,4
